L_anypoint_x,L_anypoint_y,R_anypoint_x,R_anypoint_y,Confidence
232.000,586.000,13.844,601.635,0.968
1084.000,1172.000,1012.589,1187.421,0.968
320.000,522.000,120.216,537.478,0.968
512.000,762.000,353.860,777.837,0.968
1036.000,1196.000,961.655,1211.932,0.968
512.000,866.000,351.876,882.130,0.968
1384.000,1036.000,1366.249,1052.390,0.968
1116.000,1356.000,1011.283,1372.691,0.968
860.000,1148.000,764.690,1164.172,0.968
2292.000,1060.000,2115.045,1075.080,0.968
624.000,770.000,489.496,785.320,0.968
1212.000,1268.000,1122.694,1282.615,0.968
240.000,434.000,22.744,451.163,0.968
2444.000,930.000,2253.403,945.864,0.968
684.000,698.000,562.621,715.111,0.968
868.000,1374.000,732.015,1391.849,0.968
432.000,802.000,255.685,816.301,0.968
376.000,554.000,192.692,572.881,0.968
1268.000,506.000,1244.031,522.177,0.967
836.000,1260.000,731.702,1278.475,0.967
360.000,602.000,167.848,617.709,0.967
712.000,698.000,593.506,714.772,0.967
264.000,866.000,45.807,881.586,0.967
392.000,682.000,206.158,698.085,0.967
1752.000,842.000,1719.272,858.390,0.967
384.000,562.000,200.357,578.889,0.967
2308.000,216.000,2117.149,239.236,0.967
1432.000,1076.000,1407.948,1091.171,0.967
1100.000,1188.000,1025.978,1203.942,0.967
892.000,898.000,788.923,913.578,0.967
688.000,834.000,566.457,849.434,0.967
884.000,914.000,780.380,928.083,0.967
1060.000,1308.000,953.944,1323.261,0.967
972.000,1124.000,883.690,1141.121,0.966
328.000,562.000,128.143,578.716,0.966
536.000,802.000,381.918,817.928,0.966
1004.000,1316.000,891.772,1331.725,0.966
320.000,554.000,117.588,570.056,0.966
496.000,794.000,333.482,810.750,0.966
956.000,1124.000,866.613,1139.839,0.966
908.000,530.000,883.724,545.763,0.966
964.000,1132.000,875.012,1147.186,0.966
1212.000,1172.000,1148.571,1186.999,0.966
1448.000,1084.000,1430.656,1097.483,0.966
724.000,474.000,701.432,490.882,0.966
552.000,818.000,399.445,831.939,0.966
376.000,562.000,191.661,578.289,0.966
884.000,890.000,780.693,905.197,0.966
616.000,802.000,479.220,816.464,0.966
1416.000,546.000,1392.754,563.093,0.966
1060.000,634.000,1035.508,650.245,0.966
264.000,858.000,45.676,874.007,0.966
836.000,1268.000,732.206,1286.490,0.966
996.000,1164.000,923.999,1179.229,0.966
1576.000,714.000,1551.498,728.822,0.966
1268.000,520.000,1244.594,535.677,0.966
1260.000,730.000,1241.889,745.551,0.965
860.000,826.000,755.482,839.795,0.965
996.000,1212.000,922.646,1225.506,0.965
868.000,996.000,764.033,1011.675,0.965
1568.000,778.000,1545.462,792.368,0.965
1440.000,786.000,1422.457,802.426,0.965
1464.000,882.000,1446.982,896.547,0.965
248.000,530.000,31.939,545.713,0.965
1268.000,538.000,1244.635,554.585,0.965
680.000,738.000,559.177,752.090,0.965
264.000,594.000,48.075,609.058,0.965
248.000,554.000,31.783,571.127,0.965
1268.000,528.000,1243.723,544.062,0.965
256.000,536.000,41.043,551.808,0.965
1416.000,538.000,1392.087,554.896,0.965
868.000,762.000,763.881,776.768,0.965
876.000,642.000,771.743,657.335,0.965
748.000,1180.000,657.606,1194.226,0.964
